Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Luka Dončić,24,DAL,PG,70,70,2624,804,1652,.487,284,744,.382,520,908,.573,.573,478,608,.786,59,588,647,686,99,38,282,149,2370,21,MVP-3CPOY-6ASNBA1,doncilu01
2,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,796,1487,.535,95,269,.353,701,1218,.576,.567,567,649,.874,65,350,415,465,150,67,162,184,2254,0,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01
3,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,837,1369,.611,34,124,.274,803,1245,.645,.624,514,782,.657,196,645,841,476,87,79,250,210,2222,10,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01
4,Jalen Brunson,27,NYK,PG,77,77,2726,790,1648,.479,211,526,.401,579,1122,.516,.543,421,497,.847,43,235,278,519,70,13,186,144,2212,0,MVP-5CPOY-5ASNBA2,brunsja01
5,Nikola Jokić,28,DEN,C,79,79,2737,822,1411,.583,83,231,.359,739,1180,.626,.612,358,438,.817,223,753,976,708,108,68,237,194,2085,25,MVP-1CPOY-4ASNBA1,jokicni01
6,Anthony Edwards,22,MIN,SG,79,78,2770,718,1558,.461,190,532,.357,528,1026,.515,.522,423,506,.836,52,378,430,405,101,42,241,141,2049,0,MVP-7CPOY-8ASNBA2,edwaran01
7,Kevin Durant,35,PHO,PF,75,75,2791,751,1436,.523,168,407,.413,583,1029,.567,.581,362,423,.856,41,454,495,378,69,91,244,133,2032,1,MVP-9ASNBA2,duranke01
8,Jayson Tatum,25,BOS,PF,74,74,2645,672,1426,.471,229,609,.376,443,817,.542,.552,414,497,.833,67,534,601,364,75,43,188,145,1987,0,MVP-6CPOY-9ASNBA1,tatumja01
9,De'Aaron Fox,26,SAC,PG,74,74,2659,720,1549,.465,214,580,.369,506,969,.522,.534,312,423,.738,67,273,340,418,150,31,194,193,1966,0,CPOY-12,foxde01
10,Stephen Curry,35,GSW,PG,74,74,2421,650,1445,.450,357,876,.408,293,569,.515,.573,299,324,.923,37,293,330,379,54,28,210,117,1956,0,CPOY-1ASNBA3,curryst01
11,DeMar DeRozan,34,CHI,SF,79,79,2989,650,1355,.480,75,225,.333,575,1130,.509,.507,522,612,.853,43,297,340,421,90,45,135,161,1897,0,CPOY-2,derozde01
