Player,Team,Pos,G,PTS,AST,TRB,STL,BLK,MVP_Score_Basic,MVP_Score_Advanced,MVP_Score_Position,MVP_Score_Team_Impact,MVP_Score_Composite
Luka Dončić,DAL,PG,70.0,2370.0,686.0,647.0,99.0,38.0,1228.3000000000002,52.059434024331416,1063.8000000000002,1323.1616666666669,99.66022353082161
Nikola Jokić,DEN,C,79.0,2085.0,708.0,976.0,108.0,68.0,1188.3999999999999,52.623655375281835,956.0499999999998,1275.534375,96.28822407791309
Giannis Antetokounmpo,MIL,PF,73.0,2222.0,476.0,841.0,87.0,79.0,1168.8000000000002,51.03487081653513,1010.85,1251.6060000000002,95.53058594762734
Shai Gilgeous-Alexander,OKC,PG,75.0,2254.0,465.0,415.0,150.0,67.0,1099.3,50.96036731494052,925.4,1172.9264285714285,91.01043402661989
Jalen Brunson,NYK,PG,77.0,2212.0,519.0,278.0,70.0,13.0,1052.5,47.74507105288656,907.3,1127.298125,86.91267447657646
Domantas Sabonis,SAC,C,82.0,1593.0,673.0,1120.0,74.0,48.0,1008.0,48.506824784498335,873.25,1074.916,84.86570439349084
Anthony Davis,LAL,C,76.0,1876.0,266.0,961.0,91.0,178.0,1022.7000000000002,46.78114832092284,881.0,1088.6185714285716,84.53502954886552
Anthony Edwards,MIN,SG,79.0,2049.0,405.0,430.0,101.0,42.0,1000.9000000000001,43.743967790317676,968.0000000000001,1068.2,83.51008932959266
Kevin Durant,PHO,PF,75.0,2032.0,378.0,495.0,69.0,91.0,1003.4000000000001,46.67875618150499,835.35,1072.30125,82.89928371729683
Jayson Tatum,BOS,PF,74.0,1987.0,364.0,601.0,75.0,43.0,999.6,46.46678216935714,844.95,1062.5107142857144,82.71473616853086
LeBron James,LAL,PF,71.0,1822.0,589.0,518.0,89.0,38.0,962.9000000000001,48.96642373812818,804.95,1022.8385714285715,81.98110114851676
DeMar DeRozan,CHI,SF,79.0,1897.0,421.0,340.0,90.0,45.0,924.5000000000001,46.15708304714967,834.15,982.4828571428573,79.30283882892093
De'Aaron Fox,SAC,PG,74.0,1966.0,418.0,340.0,150.0,31.0,956.1000000000001,44.4880748843979,809.1,1017.8260000000001,79.12185586405822
Devin Booker,PHO,PG,68.0,1841.0,472.0,308.0,61.0,28.0,901.3000000000001,48.08100276704255,780.7999999999998,959.99125,78.55544620330102
Stephen Curry,GSW,PG,74.0,1956.0,379.0,330.0,54.0,28.0,932.4,45.928861957841725,779.5999999999999,993.155625,78.48854508232782
Dejounte Murray,ATL,SG,78.0,1753.0,502.0,416.0,111.0,24.0,898.3000000000001,43.45261037893157,867.8000000000001,952.1492857142857,77.21844153366808
Tyrese Maxey,PHI,PG,70.0,1816.0,433.0,258.0,69.0,33.0,874.8000000000001,47.548746484803935,753.9999999999999,936.382105263158,76.73201095289178
Damian Lillard,MIL,PG,73.0,1775.0,508.0,320.0,72.0,18.0,884.6,46.00825552931378,776.7,938.986,76.51051640120359
Paolo Banchero,ORL,PF,80.0,1804.0,431.0,554.0,71.0,47.0,930.4000000000002,41.53206824863159,786.1999999999999,991.5120000000002,75.89190188945588
Pascal Siakam,2TM,PF,80.0,1737.0,342.0,565.0,63.0,25.0,885.0,45.0544390319596,751.9499999999999,947.947,75.6120064922105
Tyrese Haliburton,IND,PG,69.0,1389.0,752.0,271.0,83.0,48.0,773.3,50.39707218297322,757.6999999999999,813.3285714285714,74.21259644429335
Kawhi Leonard,LAC,SF,68.0,1613.0,244.0,416.0,111.0,59.0,794.2,46.05158030226626,719.0999999999999,838.2185714285715,71.74794536588479
Victor Wembanyama,SAS,C,71.0,1522.0,274.0,755.0,88.0,254.0,848.8,41.413569120509486,740.05,898.7407142857143,71.58133400671282
Paul George,LAC,PF,74.0,1671.0,262.0,388.0,113.0,37.0,813.4000000000001,44.068396990784166,673.8499999999998,859.3385714285715,70.48318441688059
Zion Williamson,NOP,PF,70.0,1601.0,352.0,406.0,77.0,47.0,804.4000000000002,44.74990010752757,669.6499999999999,849.0878571428574,70.44252876020717
Kyrie Irving,DAL,SG,58.0,1487.0,299.0,290.0,74.0,28.0,722.8,47.413343512959315,701.1999999999999,767.1116666666667,69.43131217008896
Jaylen Brown,BOS,SF,70.0,1610.0,249.0,387.0,83.0,37.0,783.1999999999999,42.19702357738208,706.85,824.4707142857142,68.72326133905489
Donovan Mitchell,CLE,SG,55.0,1463.0,333.0,280.0,101.0,30.0,720.9000000000001,46.13867895545315,703.0000000000001,755.3815384615385,68.47761939398123
Jalen Green,HOU,SG,82.0,1610.0,291.0,423.0,66.0,28.0,796.2,39.006844336676174,760.5,840.4892857142858,68.36836304335517
Mikal Bridges,BRK,SF,82.0,1606.0,299.0,372.0,81.0,30.0,787.7,40.4421506598376,711.4499999999998,832.9064285714286,67.98808041055142
Trae Young,ATL,PG,54.0,1389.0,583.0,149.0,72.0,11.0,710.3000000000001,46.60053676684401,673.1,745.3492857142858,67.78440512182218
Jarrett Allen,CLE,C,77.0,1271.0,210.0,811.0,53.0,81.0,726.0000000000001,45.37939995834138,645.4999999999999,760.9915384615385,67.1445055491066
Fred VanVleet,HOU,PG,73.0,1270.0,589.0,278.0,101.0,59.0,697.4,46.74221144799592,660.4,731.8092857142857,67.1143579263306
Coby White,CHI,PG,79.0,1509.0,405.0,358.0,53.0,18.0,763.3,42.31971113889662,657.5999999999999,805.1628571428571,67.09629223179043
Kyle Kuzma,WAS,PF,70.0,1553.0,296.0,464.0,37.0,49.0,781.8000000000001,40.70660415451144,660.5500000000001,832.1341176470589,67.03221326215008
Bam Adebayo,MIA,C,71.0,1367.0,278.0,737.0,81.0,66.0,764.5000000000001,42.19602720517547,648.05,809.7200000000001,66.93860151759623
Joel Embiid,PHI,C,39.0,1353.0,219.0,430.0,46.0,66.0,682.2,51.157091557862046,529.4499999999999,724.522105263158,66.82523705951093
Nikola Vučević,CHI,C,76.0,1370.0,254.0,801.0,50.0,60.0,770.0,40.61187000567876,665.75,812.5328571428572,66.49442287721602
James Harden,LAC,PG,72.0,1192.0,614.0,369.0,77.0,57.0,686.8000000000001,46.35525011024886,653.5000000000001,720.0785714285715,66.31833022457441
Collin Sexton,UTA,SG,78.0,1458.0,383.0,205.0,62.0,18.0,708.8000000000001,43.36729824540822,694.5,748.684375,66.25326899790423
Chet Holmgren,OKC,C,82.0,1357.0,200.0,648.0,53.0,190.0,736.7,42.89648484435581,636.1999999999999,774.0664285714286,65.92929658482687
Miles Bridges,CHO,SF,69.0,1449.0,231.0,505.0,65.0,33.0,736.6,40.92113679672694,667.4,786.3383333333334,65.50681751688047
D'Angelo Russell,LAL,PG,76.0,1369.0,482.0,236.0,69.0,36.0,701.7,44.18027053804112,637.6,735.5185714285715,65.30195538306259
Cade Cunningham,DET,PG,62.0,1405.0,464.0,268.0,56.0,22.0,716.2,42.42983153116268,641.7,762.1600000000001,65.07406617608737
Alperen Şengün,HOU,C,63.0,1331.0,312.0,589.0,76.0,46.0,724.8,43.79295290750996,585.3999999999999,761.9492857142857,65.0412558694513
Austin Reaves,LAL,SG,82.0,1300.0,450.0,352.0,66.0,25.0,689.5,43.70273716185966,660.9000000000001,722.0985714285714,64.9564037151932
Franz Wagner,ORL,SF,72.0,1421.0,269.0,381.0,76.0,28.0,708.8,41.676535561847984,641.55,747.752,64.22336665776925
Rudy Gobert,MIN,C,76.0,1061.0,102.0,982.0,52.0,162.0,662.6000000000001,43.565787750945596,662.25,696.0700000000002,63.85597852618688
Karl-Anthony Towns,MIN,PF,62.0,1349.0,189.0,515.0,43.0,41.0,688.8,43.53968329938248,597.9999999999999,724.89,63.69691744559517
Brandon Ingram,NOP,SF,64.0,1332.0,363.0,324.0,50.0,40.0,679.2,43.186540779212066,615.0999999999999,711.3678571428572,63.37155189994167
Jalen Williams,OKC,PF,71.0,1355.0,322.0,282.0,80.0,45.0,675.3,45.048491503381804,554.15,706.5264285714285,63.17706002260944
Scottie Barnes,TOR,SG,60.0,1191.0,363.0,494.0,75.0,88.0,664.0999999999999,43.04322634386124,622.1999999999999,707.4161904761904,62.99102297660101
Cam Thomas,BRK,SG,66.0,1482.0,192.0,214.0,45.0,16.0,680.1,40.111395752643716,663.2,714.5464285714286,62.49525109874343
Michael Porter Jr.,DEN,SF,81.0,1356.0,122.0,565.0,42.0,53.0,689.3,40.44098979922084,623.5999999999999,726.524375,62.34975635847247
CJ McCollum,NOP,PG,66.0,1322.0,305.0,286.0,62.0,41.0,657.3000000000002,44.29458197381076,557.5,687.2778571428573,62.06091198489465
